sender,receiver,transaction_amount,transaction_date
CUST030137,CUST075044,1,2024-11-02
CUST030138,CUST003063,97,2024-12-03
CUST030139,CUST090237,47,2024-11-07
CUST030140,CUST052215,73,2024-10-08
CUST030141,CUST083991,70,2024-12-16
CUST030142,CUST053410,45,2024-11-29
CUST030143,CUST010869,2,2025-02-12
CUST030144,CUST068090,63,2025-01-02
CUST030145,CUST095090,31,2025-02-26
CUST030146,CUST094048,1,2024-11-22
CUST030147,CUST017429,58,2024-08-03
CUST030148,CUST071494,73,2024-10-09
CUST030149,CUST070115,21,2025-03-27
CUST030150,CUST038390,34,2024-05-08
CUST030151,CUST034735,74,2025-03-12
CUST030152,CUST076085,66,2025-04-11
CUST030153,CUST065108,15,2025-01-20
CUST030154,CUST086890,7,2025-01-11
CUST030155,CUST084171,96,2025-04-04
CUST030156,CUST011680,77,2025-04-07
CUST030157,CUST047744,28,2024-12-04
CUST030158,CUST024718,31,2024-12-07
CUST030159,CUST025580,80,2025-04-02
CUST030160,CUST064103,52,2024-10-30
CUST030161,CUST092267,66,2024-08-24
CUST030162,CUST034783,75,2025-02-06
CUST030163,CUST070161,65,2025-01-11
CUST030164,CUST023104,16,2024-06-25
CUST030165,CUST091081,47,2024-05-28
CUST030166,CUST053078,91,2024-06-18
CUST030167,CUST028535,46,2025-02-25
CUST030168,CUST038637,58,2024-11-28
CUST030169,CUST099109,44,2024-07-10
CUST030170,CUST050487,71,2024-10-11
CUST030171,CUST094097,41,2025-01-03
CUST030172,CUST033436,44,2025-02-10
CUST030173,CUST033153,94,2024-08-09
CUST030174,CUST058953,5,2025-01-01
CUST030175,CUST019639,84,2024-11-06
CUST030176,CUST016397,2,2024-12-19
CUST030177,CUST040495,5,2024-05-14
CUST030178,CUST026784,97,2024-08-24
CUST030179,CUST005404,3,2024-09-28
CUST030180,CUST064053,76,2025-03-20
CUST030181,CUST023839,13,2024-05-13
CUST030182,CUST038920,70,2024-05-11
CUST030183,CUST077896,74,2025-03-29
CUST030184,CUST047996,90,2024-11-21
CUST030185,CUST022615,85,2024-09-26
CUST030186,CUST075594,95,2024-12-04
CUST030187,CUST000101,42,2024-09-07
CUST030188,CUST094192,96,2025-03-22
CUST030189,CUST061721,1,2024-08-29
CUST030190,CUST070515,99,2024-05-06
CUST030191,CUST010989,49,2025-03-10
CUST030192,CUST080068,7,2024-10-14
CUST030193,CUST077168,38,2024-05-13
CUST030194,CUST077230,24,2025-01-05
CUST030195,CUST038149,6,2024-09-01
CUST030196,CUST013824,80,2024-08-24
CUST030197,CUST024697,89,2024-07-14
CUST030198,CUST011630,6,2024-08-22
CUST030199,CUST003857,26,2025-03-14
CUST030200,CUST031052,7,2024-09-13
CUST030201,CUST066612,1,2024-07-22
CUST030202,CUST086334,69,2024-06-25
CUST030203,CUST033470,97,2024-06-01
CUST030204,CUST073722,54,2024-09-13
CUST030205,CUST093378,74,2025-01-24
CUST030206,CUST072373,88,2024-05-27
CUST030207,CUST046073,38,2024-07-12
CUST030208,CUST090133,57,2024-07-16
CUST030209,CUST043407,82,2024-09-17
CUST030210,CUST087755,81,2025-01-13
CUST030211,CUST035018,8,2024-11-08
CUST030212,CUST010706,84,2024-11-08
CUST030213,CUST019607,91,2024-09-05
CUST030214,CUST086912,64,2025-02-09
CUST030215,CUST092470,2,2024-05-25
CUST030216,CUST073655,11,2024-09-26
CUST030217,CUST035320,90,2025-02-11
CUST030218,CUST092186,13,2024-11-18
CUST030219,CUST057255,95,2025-02-07
CUST030220,CUST045319,91,2024-07-27
CUST030221,CUST002215,80,2025-01-18
CUST030222,CUST074071,42,2024-05-27
CUST030223,CUST049870,78,2025-01-11
CUST030224,CUST035229,79,2024-05-31
CUST030225,CUST044697,86,2024-10-23
CUST030226,CUST003256,86,2024-12-31
CUST030227,CUST027842,11,2024-08-22
CUST030228,CUST005335,100,2024-10-17
CUST030229,CUST077818,13,2024-08-07
CUST030230,CUST040523,8,2024-08-02
CUST030231,CUST039709,87,2024-06-05
CUST030232,CUST065151,9,2024-12-10
CUST030233,CUST030698,8,2024-07-05
CUST030234,CUST010723,75,2024-10-20
CUST030235,CUST065481,17,2025-01-21
CUST030236,CUST016030,54,2024-09-09
CUST030237,CUST065551,2,2024-12-03
CUST030238,CUST077043,6,2024-06-08
CUST030239,CUST008209,79,2024-04-25
CUST030240,CUST092694,94,2024-09-10
CUST030241,CUST075508,54,2024-08-04
CUST030242,CUST088720,35,2024-11-13
CUST030243,CUST088500,22,2025-03-25
CUST030244,CUST008128,67,2025-04-11
CUST030245,CUST047783,58,2024-11-01
CUST030246,CUST015647,67,2024-08-16
CUST030247,CUST090892,32,2025-01-15
CUST030248,CUST083745,55,2025-04-16
CUST030249,CUST022714,39,2025-01-23
CUST030250,CUST032268,96,2025-04-16
CUST030251,CUST003865,5,2024-09-14
CUST030252,CUST076198,22,2024-10-13
CUST030253,CUST032560,30,2024-10-16
CUST030254,CUST075859,57,2024-06-28
CUST030255,CUST072247,77,2024-05-20
CUST030256,CUST031363,97,2024-07-09
CUST030257,CUST032381,45,2025-04-11
CUST030258,CUST064995,25,2025-02-01
CUST030259,CUST041285,19,2025-03-19
CUST030260,CUST079923,67,2024-10-01
CUST030261,CUST078875,80,2025-02-26
CUST030262,CUST055278,12,2024-09-17
CUST030263,CUST015317,18,2025-01-26
CUST030264,CUST024464,23,2025-03-16
CUST030265,CUST075740,79,2025-03-20
CUST030266,CUST004889,5,2024-06-20
CUST030267,CUST093729,87,2025-04-08
CUST030268,CUST011326,6,2025-01-09
CUST030269,CUST019089,14,2025-03-07
CUST030270,CUST074923,91,2024-06-08
CUST030271,CUST076804,88,2025-02-19
CUST030272,CUST097346,33,2024-11-25
CUST030273,CUST015420,36,2024-12-17
CUST030274,CUST091017,97,2025-01-10
CUST030275,CUST053750,43,2025-02-06
CUST030276,CUST045855,27,2024-06-22
CUST030277,CUST002905,22,2025-03-02
CUST030278,CUST099428,82,2024-08-13
CUST030279,CUST078967,17,2025-02-17
CUST030280,CUST063557,13,2025-03-03
CUST030281,CUST080536,44,2024-08-29
CUST030282,CUST088856,14,2025-02-07
CUST030283,CUST020701,63,2024-06-02
CUST030284,CUST027634,25,2024-10-17
CUST030285,CUST084645,14,2024-12-06
CUST030286,CUST024056,88,2024-11-08
CUST030287,CUST018643,6,2024-10-11
CUST030288,CUST053015,75,2025-04-23
CUST030289,CUST058275,37,2025-01-10
CUST030290,CUST003647,69,2025-03-12
CUST030291,CUST013174,26,2024-06-15
CUST030292,CUST007026,86,2024-12-09
CUST030293,CUST012550,62,2024-05-24
CUST030294,CUST014854,70,2025-04-18
CUST030295,CUST050424,27,2024-10-24
CUST030296,CUST061157,11,2025-04-10
CUST030297,CUST095489,88,2024-09-11
CUST030298,CUST011327,77,2024-05-03
CUST030299,CUST003464,37,2024-09-22
CUST030300,CUST027164,55,2025-01-13
CUST030301,CUST098137,42,2025-02-08
CUST030302,CUST014076,38,2024-07-10
CUST030303,CUST094246,62,2024-10-12
CUST030304,CUST043316,63,2024-06-06
CUST030305,CUST016011,95,2024-05-26
CUST030306,CUST066434,7,2025-03-20
CUST030307,CUST000606,2,2025-02-23
CUST030308,CUST036446,15,2024-07-13
CUST030309,CUST037316,82,2024-12-17
CUST030310,CUST008653,11,2024-05-22
CUST030311,CUST032230,78,2024-06-06
CUST030312,CUST030531,5,2024-07-08
CUST030313,CUST049102,53,2024-10-11
CUST030314,CUST085951,63,2025-02-06
CUST030315,CUST093440,43,2024-06-22
CUST030316,CUST080267,16,2025-02-04
CUST030317,CUST037925,35,2024-10-05
CUST030318,CUST038542,99,2025-02-24
CUST030319,CUST064659,100,2024-07-22
CUST030320,CUST056328,89,2024-08-29
CUST030321,CUST093435,49,2024-08-31
CUST030322,CUST043655,32,2025-03-06
CUST030323,CUST015931,2,2024-07-08
CUST030324,CUST003519,17,2024-11-09
CUST030325,CUST030983,49,2024-06-08
CUST030326,CUST006776,60,2025-02-18
CUST030327,CUST023991,44,2025-04-14
CUST030328,CUST005379,91,2025-02-15
CUST030329,CUST046403,33,2024-10-12
CUST030330,CUST039442,43,2024-08-17
CUST030331,CUST071981,42,2024-09-17
CUST030332,CUST079713,26,2024-07-11
CUST030333,CUST025061,21,2025-03-01
CUST030334,CUST074916,2,2024-09-28
CUST030335,CUST046994,92,2024-12-03
CUST030336,CUST093105,25,2024-12-29
CUST030337,CUST022766,84,2025-01-11
CUST030338,CUST059054,25,2025-02-25
CUST030339,CUST096339,40,2024-07-25
CUST030340,CUST023197,77,2025-04-05
CUST030341,CUST015469,55,2025-03-17
CUST030342,CUST094386,7,2025-02-27
CUST030343,CUST008175,88,2024-06-27
CUST030344,CUST045821,66,2024-05-19
CUST030345,CUST019099,7,2024-08-24
CUST030346,CUST072583,92,2025-03-15
CUST030347,CUST004187,53,2024-12-14
CUST030348,CUST016723,90,2024-09-21
CUST030349,CUST071505,56,2024-07-31
CUST030350,CUST040453,40,2024-06-06
CUST030351,CUST028271,63,2024-06-09
CUST030352,CUST048312,41,2025-03-19
CUST030353,CUST041130,76,2024-10-17
CUST030354,CUST006388,37,2025-01-09
CUST030355,CUST024395,38,2024-10-12
CUST030356,CUST076828,20,2025-04-19
CUST030357,CUST030094,41,2025-02-24
CUST030358,CUST056637,27,2024-11-19
CUST030359,CUST068147,81,2024-07-05
CUST030360,CUST035242,76,2024-07-28
CUST030361,CUST054408,45,2024-08-31
CUST030362,CUST028338,73,2024-07-28
CUST030363,CUST004805,83,2025-02-19
CUST030364,CUST034059,37,2025-02-11
CUST030365,CUST075764,41,2024-12-17
CUST030366,CUST057451,39,2024-08-08
CUST030367,CUST051760,8,2025-03-18
CUST030368,CUST059530,98,2024-08-26
CUST030369,CUST031335,20,2024-05-05
CUST030370,CUST063535,9,2024-06-10
CUST030371,CUST063453,80,2024-05-17
CUST030372,CUST006512,47,2025-01-10
CUST030373,CUST040966,34,2024-11-20
CUST030374,CUST039441,64,2024-08-23
CUST030375,CUST063119,47,2024-04-27
CUST030376,CUST085264,7,2025-03-27
CUST030377,CUST049218,53,2024-07-30
CUST030378,CUST031140,57,2024-09-24
CUST030379,CUST085331,28,2025-01-06
CUST030380,CUST068518,66,2024-06-22
CUST030381,CUST012786,49,2024-06-13
CUST030382,CUST054741,61,2024-10-20
CUST030383,CUST080203,76,2024-11-25
CUST030384,CUST070633,66,2024-11-17
CUST030385,CUST013951,18,2025-03-20
CUST030386,CUST064643,96,2024-08-06
CUST030387,CUST051170,98,2024-10-16
CUST030388,CUST072210,92,2024-07-13
CUST030389,CUST067279,9,2024-08-22
CUST030390,CUST038489,62,2024-10-12
CUST030391,CUST036278,29,2024-07-27
CUST030392,CUST045042,38,2024-06-01
CUST030393,CUST003535,54,2024-09-27
CUST030394,CUST080222,56,2024-09-27
CUST030395,CUST070673,47,2025-02-23
CUST030396,CUST071122,8,2024-07-29
CUST030397,CUST092895,12,2024-08-29
CUST030398,CUST074091,64,2025-04-03
CUST030399,CUST056311,64,2025-02-06
CUST030400,CUST001635,23,2024-06-28
CUST030401,CUST016909,93,2024-09-16
CUST030402,CUST021311,84,2024-09-15
CUST030403,CUST080654,94,2025-02-17
CUST030404,CUST067259,35,2025-02-16
CUST030405,CUST074148,44,2024-12-15
CUST030406,CUST056082,38,2025-03-09
CUST030407,CUST061573,82,2024-07-30
CUST030408,CUST069401,92,2024-11-15
CUST030409,CUST066604,24,2024-11-15
CUST030410,CUST091513,1,2024-10-06
CUST030411,CUST072808,45,2025-04-22
CUST030412,CUST077365,87,2024-05-13
CUST030413,CUST031132,96,2024-08-06
CUST030414,CUST020387,75,2025-03-19
CUST030415,CUST049782,93,2024-12-06
CUST030416,CUST061761,92,2024-09-28
CUST030417,CUST067371,72,2024-07-22
CUST030418,CUST054471,96,2025-01-20
CUST030419,CUST053284,37,2025-04-14
CUST030420,CUST002354,13,2025-01-01
CUST030421,CUST013879,78,2024-09-06
CUST030422,CUST076669,57,2024-05-12
CUST030423,CUST008204,98,2024-12-06
CUST030424,CUST010323,81,2024-04-30
CUST030425,CUST076832,27,2024-07-03
CUST030426,CUST058776,77,2025-03-31
CUST030427,CUST035926,44,2025-03-28
CUST030428,CUST022248,24,2024-05-15
CUST030429,CUST017341,50,2025-04-22
CUST030430,CUST085779,42,2025-01-19
CUST030431,CUST022523,55,2024-06-24
CUST030432,CUST044595,79,2024-10-22
CUST030433,CUST077632,12,2024-11-27
CUST030434,CUST046336,76,2024-12-03
CUST030435,CUST088962,6,2025-01-15
CUST030436,CUST034724,67,2024-12-08
CUST030437,CUST075741,40,2024-11-15
CUST030438,CUST004992,42,2025-03-08
CUST030439,CUST097163,78,2025-02-07
CUST030440,CUST036834,5,2025-04-07
CUST030441,CUST016068,31,2024-07-23
CUST030442,CUST013764,60,2024-12-31
CUST030443,CUST051956,82,2024-10-16
CUST030444,CUST044864,20,2024-05-08
CUST030445,CUST017409,89,2025-02-27
CUST030446,CUST025177,75,2025-02-02
CUST030447,CUST035098,56,2025-04-19
CUST030448,CUST051851,72,2025-03-18
CUST030449,CUST053847,7,2025-02-12
CUST030450,CUST035795,100,2024-05-28
CUST030451,CUST063325,57,2024-06-14
CUST030452,CUST089768,2,2024-07-21
CUST030453,CUST058487,26,2024-10-25
CUST030454,CUST001012,83,2024-07-16
CUST030455,CUST023428,26,2025-02-16
CUST030456,CUST038393,9,2025-03-16
CUST030457,CUST058991,85,2024-12-22
CUST030458,CUST050853,30,2024-06-22
CUST030459,CUST015230,1,2024-10-13
CUST030460,CUST078781,58,2024-04-23
CUST030461,CUST082139,81,2024-05-04
CUST030462,CUST089999,6,2025-03-05
CUST030463,CUST025303,61,2024-07-31
CUST030464,CUST023537,89,2025-03-14
CUST030465,CUST087747,14,2025-01-06
CUST030466,CUST005586,87,2024-10-26
CUST030467,CUST049131,87,2024-09-15
CUST030468,CUST061958,76,2025-01-08
CUST030469,CUST057211,26,2024-05-22
CUST030470,CUST082732,56,2024-11-19
CUST030471,CUST080374,43,2024-07-24
CUST030472,CUST005457,17,2024-05-04
CUST030473,CUST053862,56,2024-08-28
CUST030474,CUST037290,92,2024-12-03
CUST030475,CUST009776,17,2024-08-11
CUST030476,CUST064882,49,2024-05-04
CUST030477,CUST014100,93,2024-12-23
CUST030478,CUST041843,47,2024-12-02
CUST030479,CUST057164,3,2024-08-06
CUST030480,CUST082352,81,2024-08-27
CUST030481,CUST077763,38,2024-12-19
CUST030482,CUST095609,48,2024-04-29
CUST030483,CUST074676,29,2024-08-17
CUST030484,CUST095597,7,2024-09-09
CUST030485,CUST044868,65,2024-05-11
CUST030486,CUST009860,24,2025-04-08
CUST030487,CUST055701,99,2024-05-04
CUST030488,CUST002540,79,2024-06-26
CUST030489,CUST078736,22,2024-09-02
CUST030490,CUST033159,8,2024-06-17
CUST030491,CUST065619,22,2024-06-25
CUST030492,CUST050155,49,2025-04-06
CUST030493,CUST057825,61,2024-09-28
CUST030494,CUST012282,1,2024-08-02
CUST030495,CUST015121,13,2025-01-31
CUST030496,CUST009947,5,2024-05-07
CUST030497,CUST076428,88,2025-01-26
CUST030498,CUST085177,1,2024-09-27
CUST030499,CUST026112,84,2024-05-16
CUST030500,CUST052397,92,2025-04-23
CUST030501,CUST033291,25,2024-09-26
CUST030502,CUST096141,6,2024-08-03
CUST030503,CUST034463,39,2024-09-27
CUST030504,CUST084173,62,2025-03-26
CUST030505,CUST004838,8,2024-12-13
CUST030506,CUST011802,24,2025-04-20
CUST030507,CUST023711,25,2025-02-06
CUST030508,CUST097158,71,2024-10-12
CUST030509,CUST040917,52,2025-03-01
CUST030510,CUST013066,64,2024-08-15
CUST030511,CUST062547,53,2025-03-05
CUST030512,CUST045475,70,2024-06-25
CUST030513,CUST093767,71,2025-02-06
CUST030514,CUST036389,89,2025-03-22
CUST030515,CUST076168,35,2024-09-15
CUST030516,CUST095365,73,2024-11-27
CUST030517,CUST074668,96,2024-06-05
CUST030518,CUST079844,77,2024-06-26
CUST030519,CUST003710,25,2024-09-05
CUST030520,CUST048755,39,2024-08-15
CUST030521,CUST086258,52,2024-10-03
CUST030522,CUST097731,67,2024-07-11
CUST030523,CUST005095,15,2025-01-19
CUST030524,CUST009416,23,2024-05-27
CUST030525,CUST048847,34,2025-03-30
CUST030526,CUST079067,72,2024-06-20
CUST030527,CUST007473,11,2025-02-07
CUST030528,CUST063731,3,2025-02-04
CUST030529,CUST036132,10,2025-02-04
CUST030530,CUST084944,46,2024-06-09
CUST030531,CUST083738,50,2025-03-13
CUST030532,CUST027949,79,2024-07-23
CUST030533,CUST046909,41,2025-04-12
CUST030534,CUST049836,19,2024-07-12
CUST030535,CUST023116,96,2024-09-04
CUST030536,CUST027962,68,2025-01-03
CUST030537,CUST047084,38,2024-07-20
CUST030538,CUST059418,22,2024-08-12
CUST030539,CUST052063,2,2025-03-26
CUST030540,CUST047183,22,2024-09-28
CUST030541,CUST002018,65,2025-02-03
CUST030542,CUST004224,31,2024-08-02
CUST030543,CUST061853,41,2024-09-12
CUST030544,CUST050510,58,2025-01-22
CUST030545,CUST023076,40,2024-06-07
CUST030546,CUST006532,37,2024-10-02
CUST030547,CUST004667,84,2024-12-18
CUST030548,CUST089318,22,2024-11-19
CUST030549,CUST044024,96,2024-06-13
CUST030550,CUST035237,16,2024-11-16
CUST030551,CUST040060,71,2025-02-24
CUST030552,CUST040024,25,2025-01-13
CUST030553,CUST004237,68,2025-03-19
CUST030554,CUST067476,98,2025-03-20
CUST030555,CUST036625,45,2024-11-26
CUST030556,CUST032819,29,2024-11-20
CUST030557,CUST081463,20,2024-08-04
CUST030558,CUST093089,25,2024-12-23
CUST030559,CUST030101,90,2024-09-13
CUST030560,CUST066897,3,2024-12-02
CUST030561,CUST044697,80,2024-12-23
CUST030562,CUST077531,33,2024-11-10
CUST030563,CUST024942,13,2024-08-27
CUST030564,CUST093068,79,2024-05-31
CUST030565,CUST059348,83,2024-09-06
CUST030566,CUST076630,40,2024-09-09
CUST030567,CUST033026,85,2024-12-28
CUST030568,CUST011652,23,2024-12-19
CUST030569,CUST098349,30,2024-09-08
CUST030570,CUST090381,48,2024-10-29
CUST030571,CUST083255,53,2024-12-18
CUST030572,CUST049824,73,2025-04-17
CUST030573,CUST048123,14,2024-12-16
CUST030574,CUST013590,69,2024-12-15
CUST030575,CUST039769,13,2025-01-07
CUST030576,CUST064987,9,2024-07-28
CUST030577,CUST085559,43,2024-12-01
CUST030578,CUST000235,49,2024-08-01
CUST030579,CUST072371,11,2024-09-15
CUST030580,CUST015056,12,2024-07-05
CUST030581,CUST068744,78,2024-10-10
CUST030582,CUST002401,22,2024-07-24
CUST030583,CUST075146,76,2025-03-19
CUST030584,CUST087010,47,2024-09-17
CUST030585,CUST089472,40,2024-07-18
CUST030586,CUST054158,58,2024-10-14
CUST030587,CUST089411,3,2024-08-19
CUST030588,CUST060599,37,2024-07-05
CUST030589,CUST025016,15,2025-02-21
CUST030590,CUST079721,37,2024-08-24
CUST030591,CUST095080,44,2024-11-18
CUST030592,CUST066187,7,2024-09-08
CUST030593,CUST064431,47,2024-11-16
CUST030594,CUST097926,85,2025-04-07
CUST030595,CUST049186,83,2024-09-29
CUST030596,CUST092865,22,2024-09-08
CUST030597,CUST062307,50,2025-03-06
CUST030598,CUST019417,21,2025-04-02
CUST030599,CUST078656,79,2025-01-16
CUST030600,CUST073181,97,2024-09-11
CUST030601,CUST050263,59,2024-06-07
CUST030602,CUST074190,79,2024-06-12
CUST030603,CUST079953,51,2025-04-13
CUST030604,CUST090434,55,2024-06-03
CUST030605,CUST053663,20,2024-09-05
CUST030606,CUST067411,8,2025-02-08
CUST030607,CUST052192,90,2024-05-18
CUST030608,CUST075966,100,2024-06-03
CUST030609,CUST012214,31,2024-10-06
CUST030610,CUST048988,97,2024-11-13
CUST030611,CUST083177,68,2024-05-31
CUST030612,CUST059784,70,2024-07-09
CUST030613,CUST061354,50,2025-02-24
CUST030614,CUST015803,64,2024-05-24
CUST030615,CUST081659,55,2025-01-20
CUST030616,CUST060647,78,2025-04-04
CUST030617,CUST087190,41,2024-06-03
CUST030618,CUST043672,7,2025-01-20
CUST030619,CUST089638,66,2024-11-03
CUST030620,CUST066946,100,2024-12-21
CUST030621,CUST043389,33,2025-03-27
CUST030622,CUST034601,80,2024-09-13
CUST030623,CUST083945,30,2024-11-05
CUST030624,CUST060691,17,2025-02-26
CUST030625,CUST005737,40,2024-11-07
CUST030626,CUST070530,35,2024-07-19
CUST030627,CUST043872,65,2024-11-12
CUST030628,CUST047166,13,2024-11-01
CUST030629,CUST056787,4,2024-06-22
CUST030630,CUST031248,84,2024-05-20
CUST030631,CUST028822,11,2024-06-06
CUST030632,CUST003214,79,2025-02-17
CUST030633,CUST029496,56,2024-06-30
CUST030634,CUST071745,94,2025-01-19
CUST030635,CUST009645,50,2024-08-30
CUST030636,CUST006454,68,2025-04-23
CUST030637,CUST076630,98,2024-05-13
CUST030638,CUST011264,13,2024-09-15
CUST030639,CUST056481,26,2024-07-06
CUST030640,CUST065842,31,2025-04-18
CUST030641,CUST099689,35,2024-12-13
CUST030642,CUST032022,39,2024-11-05
CUST030643,CUST017959,67,2025-03-26
CUST030644,CUST066409,71,2025-02-12
CUST030645,CUST041129,39,2025-03-06
CUST030646,CUST087499,47,2025-04-19
CUST030647,CUST042564,2,2024-12-19
CUST030648,CUST017415,8,2024-04-29
CUST030649,CUST075463,82,2024-08-14
CUST030650,CUST055884,69,2024-11-29
CUST030651,CUST037211,73,2025-03-30
CUST030652,CUST015291,13,2025-01-17
CUST030653,CUST003668,82,2024-06-12
CUST030654,CUST017661,6,2024-08-23
CUST030655,CUST072090,8,2025-04-21
CUST030656,CUST082463,19,2025-02-03
CUST030657,CUST057699,64,2024-07-26
CUST030658,CUST004809,47,2024-10-26
CUST030659,CUST094149,76,2025-03-11
CUST030660,CUST040500,25,2024-06-23
CUST030661,CUST028016,25,2024-06-11
CUST030662,CUST033352,45,2024-12-27
CUST030663,CUST049663,86,2025-04-03
CUST030664,CUST074675,63,2024-07-14
CUST030665,CUST036242,44,2024-09-04
CUST030666,CUST001199,97,2024-08-02
CUST030667,CUST092984,44,2025-01-25
CUST030668,CUST012114,31,2024-09-11
CUST030669,CUST094286,16,2024-08-10
CUST030670,CUST038640,35,2024-12-26
CUST030671,CUST064037,72,2024-07-05
CUST030672,CUST085224,89,2024-08-24
CUST030673,CUST067984,62,2024-07-25
CUST030674,CUST074945,93,2024-11-26
CUST030675,CUST017675,70,2024-10-04
CUST030676,CUST012414,51,2024-11-20
CUST030677,CUST054987,71,2024-10-01
CUST030678,CUST047938,32,2024-08-31
CUST030679,CUST073086,67,2024-05-19
CUST030680,CUST023072,99,2024-05-20
CUST030681,CUST074230,11,2024-08-27
CUST030682,CUST043832,86,2024-09-10
CUST030683,CUST082307,22,2025-02-14
CUST030684,CUST041372,30,2024-09-06
CUST030685,CUST067543,51,2024-08-14
CUST030686,CUST005214,13,2024-12-28
CUST030687,CUST063816,99,2025-03-01
CUST030688,CUST051300,61,2024-12-01
CUST030689,CUST036637,13,2024-05-15
CUST030690,CUST063949,25,2024-08-11
CUST030691,CUST075067,14,2024-04-28
CUST030692,CUST047129,77,2024-06-22
CUST030693,CUST072174,94,2024-11-03
CUST030694,CUST049505,88,2024-05-14
CUST030695,CUST070501,38,2024-11-24
CUST030696,CUST052341,56,2024-10-20
CUST030697,CUST034071,6,2024-10-24
CUST030698,CUST073286,21,2024-11-26
CUST030699,CUST066383,18,2024-10-08
CUST030700,CUST078927,53,2025-02-09
CUST030701,CUST079272,73,2024-11-05
CUST030702,CUST089442,62,2024-06-12
CUST030703,CUST014877,73,2024-10-13
CUST030704,CUST079504,40,2025-04-15
CUST030705,CUST051677,70,2025-01-15
CUST030706,CUST018263,86,2024-11-17
CUST030707,CUST085551,45,2025-02-28
CUST030708,CUST024055,89,2024-08-06
CUST030709,CUST095492,7,2024-06-18
CUST030710,CUST023052,90,2024-12-05
CUST030711,CUST028386,28,2024-07-16
CUST030712,CUST035588,60,2024-07-08
CUST030713,CUST055132,88,2024-08-17
CUST030714,CUST093020,25,2024-06-23
CUST030715,CUST027654,57,2024-06-03
CUST030716,CUST044791,75,2025-02-26
CUST030717,CUST042019,79,2025-03-17
CUST030718,CUST096431,36,2024-07-13
CUST030719,CUST060993,54,2025-02-20
CUST030720,CUST095379,22,2024-06-02
CUST030721,CUST054841,4,2025-04-22
CUST030722,CUST085185,8,2024-06-15
CUST030723,CUST097293,83,2025-01-19
CUST030724,CUST087944,23,2025-04-14
CUST030725,CUST044562,65,2024-05-28
CUST030726,CUST082595,69,2024-09-27
CUST030727,CUST010071,77,2024-06-05
CUST030728,CUST039026,10,2025-03-29
CUST030729,CUST033780,31,2024-06-23
CUST030730,CUST016617,51,2024-10-29
CUST030731,CUST095910,21,2024-09-24
CUST030732,CUST000798,10,2024-12-19
CUST030733,CUST039890,3,2025-01-16
CUST030734,CUST064391,90,2024-10-21
CUST030735,CUST013595,87,2024-12-24
CUST030736,CUST047755,3,2025-03-05
CUST030737,CUST053640,97,2024-08-02
CUST030738,CUST073227,48,2024-12-14
CUST030739,CUST012670,38,2025-01-01
CUST030740,CUST084510,18,2024-08-10
CUST030741,CUST021086,20,2024-06-13
CUST030742,CUST028788,7,2024-07-09
CUST030743,CUST090621,21,2024-05-29
CUST030744,CUST024052,41,2024-11-15
CUST030745,CUST055567,9,2024-05-15
CUST030746,CUST050616,66,2024-08-07
CUST030747,CUST077091,100,2024-05-18
CUST030748,CUST052263,82,2025-02-24
CUST030749,CUST037640,12,2024-05-29
CUST030750,CUST078891,63,2025-01-28
CUST030751,CUST005290,55,2024-10-30
CUST030752,CUST024745,74,2025-01-02
CUST030753,CUST017946,47,2024-09-28
CUST030754,CUST089780,47,2025-02-16
CUST030755,CUST056965,7,2025-03-02
CUST030756,CUST024228,15,2024-11-07
CUST030757,CUST093285,61,2024-08-27
CUST030758,CUST082495,46,2024-10-29
CUST030759,CUST009935,4,2024-06-21
CUST030760,CUST045531,21,2024-05-13
CUST030761,CUST053169,68,2025-04-13
CUST030762,CUST076087,24,2025-03-01
CUST030763,CUST065096,1,2025-03-24
CUST030764,CUST069561,96,2024-05-24
CUST030765,CUST031773,11,2024-11-07
CUST030766,CUST008723,57,2024-08-09
CUST030767,CUST050143,62,2024-11-21
CUST030768,CUST067657,64,2024-09-24
CUST030769,CUST095626,16,2024-10-06
CUST030770,CUST086885,75,2024-05-26
CUST030771,CUST005878,90,2024-05-09
CUST030772,CUST018905,50,2025-01-17
CUST030773,CUST086329,6,2025-02-25
CUST030774,CUST091574,88,2024-05-15
CUST030775,CUST082872,13,2025-04-19
CUST030776,CUST080196,1,2024-05-10
CUST030777,CUST029685,42,2024-09-14
CUST030778,CUST066501,30,2025-02-15
CUST030779,CUST034903,38,2024-09-24
CUST030780,CUST053607,82,2025-01-02
CUST030781,CUST035572,60,2024-07-11
CUST030782,CUST069448,59,2024-06-18
CUST030783,CUST076753,11,2024-09-23
CUST030784,CUST066945,11,2025-04-09
CUST030785,CUST087158,20,2025-01-12
CUST030786,CUST086514,47,2024-11-14
CUST030787,CUST078732,7,2025-01-15
CUST030788,CUST043939,3,2024-12-14
CUST030789,CUST057204,5,2024-05-19
CUST030790,CUST057806,49,2024-10-17
CUST030791,CUST072650,7,2024-05-06
CUST030792,CUST040911,11,2024-12-17
CUST030793,CUST022762,93,2025-02-05
CUST030794,CUST024993,81,2024-12-29
CUST030795,CUST079315,90,2025-04-06
CUST030796,CUST087522,63,2025-01-13
CUST030797,CUST055449,45,2024-05-16
CUST030798,CUST069904,39,2025-01-19
CUST030799,CUST045448,34,2024-07-02
CUST030800,CUST010787,26,2024-12-24
CUST030801,CUST042707,22,2024-06-26
